Date,Flow,Local,Mainland,Others
3/17/2021,Departure,1424,133,43
3/18/2021,Arrival,1350,139,23
3/18/2021,Departure,1414,102,53
3/19/2021,Arrival,1317,90,30
3/19/2021,Departure,1362,105,40
3/20/2021,Arrival,1632,177,13
3/20/2021,Departure,1399,137,23
3/21/2021,Arrival,1891,132,16
3/21/2021,Departure,1284,98,30
3/22/2021,Arrival,1246,126,18
3/22/2021,Departure,1053,97,37
3/23/2021,Arrival,1348,102,13
3/23/2021,Departure,1303,132,23
3/24/2021,Arrival,1438,106,28
3/24/2021,Departure,1066,98,26
3/25/2021,Arrival,1323,99,20
3/25/2021,Departure,1233,80,36
3/26/2021,Arrival,1325,92,28
3/26/2021,Departure,1493,87,30
3/27/2021,Arrival,1312,111,19
3/27/2021,Departure,1481,125,23
3/28/2021,Arrival,1781,146,23
3/28/2021,Departure,1364,94,42
3/29/2021,Arrival,1021,96,12
3/29/2021,Departure,973,62,10
3/30/2021,Arrival,1304,110,6
3/30/2021,Departure,1593,91,27
3/31/2021,Arrival,1767,129,27
3/31/2021,Departure,1394,115,26
4/1/2021,Arrival,1256,86,22
4/1/2021,Departure,2217,196,30
4/2/2021,Arrival,1547,178,44
4/2/2021,Departure,2244,169,43
4/3/2021,Arrival,1089,101,16
4/3/2021,Departure,1224,108,8
4/4/2021,Arrival,1185,71,27
4/4/2021,Departure,1044,66,22
4/5/2021,Arrival,1108,121,6
4/5/2021,Departure,1317,71,25
4/6/2021,Arrival,1968,155,18
4/6/2021,Departure,1240,79,23
4/7/2021,Arrival,2178,152,16
4/7/2021,Departure,1104,63,15
4/8/2021,Arrival,1797,148,97
4/8/2021,Departure,1728,102,99
4/9/2021,Arrival,2152,164,33
4/9/2021,Departure,2058,107,46
4/10/2021,Arrival,2628,229,20
4/10/2021,Departure,1784,119,30
4/11/2021,Arrival,2669,205,23
4/11/2021,Departure,1809,127,42
4/12/2021,Arrival,1397,109,19
4/12/2021,Departure,1525,77,12
4/13/2021,Arrival,1633,106,14
4/13/2021,Departure,1824,116,43
4/14/2021,Arrival,1636,156,15
4/14/2021,Departure,1405,152,32
4/15/2021,Arrival,1551,108,65
4/15/2021,Departure,1820,96,87
4/16/2021,Arrival,1692,94,31
4/16/2021,Departure,1879,137,41
4/17/2021,Arrival,1503,123,12
4/17/2021,Departure,1508,99,21
4/18/2021,Arrival,2139,143,18
4/18/2021,Departure,1726,102,45
4/19/2021,Arrival,1024,92,15
4/19/2021,Departure,1425,74,18
4/20/2021,Arrival,1403,131,18
4/20/2021,Departure,1860,151,44
4/21/2021,Arrival,1749,99,23
